anio,cat_ipcc2006,categoria,co2_absorciones_Gg,co2_emisiones_Gg,ch4_emisiones_Gg,n2o_emisiones_Gg,emisiones_totales_Gg_CO2eq,emisiones_con_absorciones_Gg_CO2eq
2014,1,Energía,NA,"72,537.64",415.00,4.06,"82,509.85","82,509.85"
2014,1A,Actividades de quema de combustible,NA,"72,348.99",61.06,2.62,"74,442.74","74,442.74"
2014,1A1,Industrias de la energía,NA,"23,252.79",4.65E-01,0.14,"23,307.40","23,307.40"
2014,1A1a,Producción de electricidad y calor como actividad principal,NA,"11,937.81",1.93E-01,0.10,"11,972.91","11,972.91"
2014,1A1ai,Generación de electricidad,NA,"11,937.81",1.93E-01,0.10,"11,972.91","11,972.91"
2014,1A1aii,Generación combinada de calor y energía (CHP),NA,NO,NO,NO,NO,NO
2014,1A1aiii,Plantas generadoras de energía (CHP),NA,NO,NO,NO,NO,NO
2014,1A1b,Refinación de petróleo,NA,"2,560.31",4.64E-02,0.00,"2,562.72","2,562.72"
2014,1A1c,Fabricación de combustibles sólidos y otras industrias energéticas,NA,"8,754.66",2.26E-01,0.04,"8,771.76","8,771.76"
2014,1A1ci,Manufactura de combustibles sólidos,NA,"1,464.31",2.61E-04,NE,"1,464.32","1,464.32"
2014,1A1cii,Otras industrias de la energía,NA,"7,290.35",2.25E-01,0.04,"7,307.44","7,307.44"
2014,1A2,Industrias manufactureras y de la construcción,NA,"14,045.72",3.67,0.50,"14,276.36","14,276.36"
2014,1A2a,Hierro y acero,NA,940.82,7.19E-02,0.01,945.61,945.61
2014,1A2b,Metales no ferrosos,NA,IE,IE,IE,IE,IE
2014,1A2c,Productos químicos,NA,"1,156.10",9.62E-02,0.01,"1,161.98","1,161.98"
2014,1A2d,Pulpa. papel e imprenta,NA,"1,744.94",1.41E-01,0.02,"1,754.32","1,754.32"
2014,1A2e,Procesamiento de alimentos. bebidas y tabaco,NA,"2,320.80",2.45,0.33,"2,474.24","2,474.24"
2014,1A2f,Minerales no metálicos,NA,"6,087.71",7.71E-01,0.10,"6,135.64","6,135.64"
2014,1A2g,Equipo de transporte,NA,30.02,7.98E-04,0.00,30.07,30.07
2014,1A2h,Maquinaria,NA,104.29,3.40E-03,0.00,104.50,104.50
2014,1A2i,Minería (con excepción de combustibles) y cantería,NA,1.21,5.23E-05,0.00,1.21,1.21
2014,1A2j,Madera y productos de la madera,NA,27.90,2.35E-03,0.00,28.03,28.03
2014,1A2k,Construcción,NA,302.11,1.22E-02,0.00,303.12,303.12
2014,1A2l,Textiles y cueros,NA,"1,132.09",1.16E-01,0.02,"1,139.56","1,139.56"
2014,1A2m,Industria no especificada,NA,197.73,7.31E-03,0.00,198.08,198.08
2014,1A3,Transporte,NA,"28,711.80",9.19,1.34,"29,319.12","29,319.12"
2014,1A3a,Aviación civil,NA,"1,940.41",1.32E-02,0.05,"1,957.03","1,957.03"
2014,1A3aii,Aviación de cabotaje,NA,"1,940.41",1.32E-02,0.05,"1,957.03","1,957.03"
2014,1A3b,Transporte terrestre,NA,"25,862.90",8.36,1.22,"26,416.41","26,416.41"
2014,1A3bi,Automóviles,NA,"9,936.29",5.87,0.47,"10,206.51","10,206.51"
2014,1A3bi1,Automóviles de pasajeros con catalizadores tridireccionales,NA,IE,IE,IE,IE,IE
2014,1A3bi2,Automóviles de pasajeros sin catalizadores tridireccionales,NA,IE,IE,IE,IE,IE
2014,1A3bii,Camiones para servicio ligero,NA,"2,867.19",1.16,0.15,"2,936.96","2,936.96"
2014,1A3bii1,Camiones para servicio ligero con catalizadores tridireccionales,NA,IE,IE,IE,IE,IE
2014,1A3bii2,Camiones para servicio ligero sin catalizadores tridireccionales,NA,IE,IE,IE,IE,IE
2014,1A3biii,Camiones para servicio pesado y autobuses,NA,"10,529.86",9.30E-01,0.56,"10,723.52","10,723.52"
2014,1A3biv,Motocicletas,NA,"2,529.56",4.04E-01,0.04,"2,549.42","2,549.42"
2014,1A3bv,Emisiones por evaporación procedentes de vehículos,NA,NE,NE,NE,NE,NE
2014,1A3bvi,Catalizadores basados en urea,NA,NE,NE,NE,NE,NE
2014,1A3c,Ferrocarriles,NA,73.78,4.03E-03,0.03,82.04,82.04
2014,1A3d,Navegación marítima y fluvial,NA,253.06,2.50E-02,0.01,255.80,255.80
2014,1A3dii,Navegación marítima y fluvial nacional,NA,253.06,2.50E-02,0.01,255.80,255.80
2014,1A3e,Otro tipo de transporte,NA,581.66,7.85E-01,0.03,607.83,607.83
2014,1A3ei,Transporte por gasoductos,NA,464.90,7.70E-01,0.03,488.85,488.85
2014,1A3eii,Todo terreno,NA,116.76,1.48E-02,0.01,118.98,118.98
2014,1A4,Otros sectores,NA,"6,338.68",47.73,0.64,"7,539.86","7,539.86"
2014,1A4a,Comercial / Institucional,NA,"1,090.51",1.02E-01,0.00,"1,093.27","1,093.27"
2014,1A4b,Residencial,NA,"3,650.94",42.67,0.56,"4,721.38","4,721.38"
2014,1A4c,Agricultura / Silvicultura / Pesca / Piscifactorías,NA,"1,597.23",4.96,0.08,"1,725.20","1,725.20"
2014,1A4ci,Estacionaria,NA,"1,577.20",4.95,0.08,"1,704.79","1,704.79"
2014,1A4cii,Vehículos todo terreno y maquinaria,NA,20.03,2.62E-03,0.00,20.41,20.41
2014,1A4cii,Pesca,NA,IE,IE,IE,IE,IE
2014,1A5,No especificado,NA,NO,NO,NO,NO,NO
2014,1A5a,Estacionario,NA,NO,NO,NO,NO,NO
2014,1A5b,Móvil,NA,NO,NO,NO,NO,NO
2014,1A5bi,Móvil (componente aviación),NA,NO,NO,NO,NO,NO
2014,1A5bii,Móvil (componente del sector marítimo y fluvial),NA,NO,NO,NO,NO,NO
2014,1A5biii,Móvil (otros),NA,NO,NO,NO,NO,NO
2014,1B,Emisiones fugitivas provenientes de la fabricación de combustible,NA,188.65,353.95,1.44,"8,067.11","8,067.11"
2014,1B1,Combustibles sólidos,NA,1.16,116.11,NA,"2,439.47","2,439.47"
2014,1B1a,Minería carbonífera y manejo del carbón,NA,1.16,116.11,NA,"2,439.47","2,439.47"
2014,1B1ai,Minas subterráneas,NA,1.16,52.70,NA,"1,107.84","1,107.84"
2014,1B1ai1,Minería,NA,9.41E-01,40.54,NA,852.23,852.23
2014,1B1ai2,Emisiones posteriores a la minería,NA,2.20E-01,12.16,NA,255.61,255.61
2014,1B1ai3,Minas subterráneas abandonadas,NA,NE,NE,NA,NE,NE
2014,1B1ai4,Quema en antorcha de metano drenado o conversión de metano en CO2,NA,NE,NE,NA,NE,NE
2014,1B1aii,Minas de superficie,NA,NE,63.41,NA,"1,331.63","1,331.63"
2014,1B1aii1,Minería,NA,NE,48.78,NA,"1,024.33","1,024.33"
2014,1B1aii2,Emisiones posteriores a la minería,NA,NE,14.63,NA,307.30,307.30
2014,1B1b,Combustión espontánea y vertederos para quema de carbón,NA,NE,NE,NA,NE,NE
2014,1B1c,Transformación de combustibles sólidos,NA,NE,NE,NA,NE,NE
2014,1B2,Petróleo y gas natural,NA,187.49,237.84,1.44,"5,627.64","5,627.64"
2014,1B2a,Petróleo,NA,141.32,55.86,1.44,"1,759.73","1,759.73"
2014,1B2ai,Venteo,NA,6.47,49.14,NE,"1,038.33","1,038.33"
2014,1B2aii,Quema en antorcha,NA,10.78,1.59E-01,1.44,459.52,459.52
2014,1B2aiii,Todos los demás,NA,124.07,6.56,0.00,261.88,261.88
2014,1B2aiii1,Exploración,NA,NE,NE,NE,NE,NE
2014,1B2aiii2,Producción y refinación,NA,123.56,5.86,NE,246.66,246.66
2014,1B2aiii3,Transporte,NA,5.09E-01,4.00E-01,0.00,8.92,8.92
2014,1B2aiii4,Refinación,NA,NE,3.00E-01,NE,6.30,6.30
2014,1B2aiii5,Distribución de productos de petróleo,NA,NE,NE,NE,NE,NE
2014,1B2aiii6,Otros,NA,NO,NO,NO,NO,NO
2014,1B2b,Gas Natural,NA,46.17,181.98,0.00,"3,867.91","3,867.91"
2014,1B2bi,Venteo,NA,22.58,5.11,NE,129.84,129.84
2014,1B2bii,Quema en antorcha,NA,20.94,1.32E-02,0.00,21.34,21.34
2014,1B2biii,Todos los demás,NA,2.64,176.86,NE,"3,716.74","3,716.74"
2014,1B2biii1,Exploración,NA,NE,NE,NE,NE,NE
2014,1B2biii2,Producción,NA,1.42,146.26,NE,"3,072.94","3,072.94"
2014,1B2biii3,Procesamiento,NA,5.28E-02,1.67E-01,NE,3.56,3.56
2014,1B2biii4,Transmisión y almacenamiento,NA,2.12E-02,8.79,NE,184.57,184.57
2014,1B2biii5,Distribución,NA,1.15,21.64,NE,455.67,455.67
2014,1B2biii6,Otros,NA,NO,NO,NO,NO,NO
2014,1B3,Otras emisiones provenientes de la producción de energía,NA,NA,NA,NA,NA,NA
2014,1C,Transporte y almacenamiento de dióxido de carbono,NA,NO,NO,NO,NO,NO
2014,1C1,Transporte de CO2,NA,NO,NO,NO,NO,NO
2014,1C1a,Gasoductos,NA,NA,NA,NA,NA,NA
2014,1C1b,Embarcaciones,NA,NA,NA,NA,NA,NA
2014,1C1c,Otros,NA,NA,NA,NA,NA,NA
2014,1C2,Inyección y almacenamiento,NA,NA,NA,NA,NA,NA
2014,1C2a,Inyección,NA,NA,NA,NA,NA,NA
2014,1C2b,Almacenamiento,NA,NA,NA,NA,NA,NA
2014,1C3,Otros,NA,NA,NA,NA,NA,NA
2014,2,Procesos Industriales y Uso de Productos,NA,"7,674.89",1.03,2.56,"10,537.76","10,537.76"
2014,2A,Industria de los minerales,NA,"5,545.21",NA,NA,"5,545.21","5,545.21"
2014,2A1,Producción de cemento,NA,"5,277.31",NA,NA,"5,277.31","5,277.31"
2014,2A2,Producción de cal,NA,121.81,NA,NA,121.81,121.81
2014,2A3,Producción de vidrio,NA,95.31,NA,NA,95.31,95.31
2014,2A4,Otros usos de carbonatos en los procesos,NA,50.77,NA,NA,50.77,50.77
2014,2A4a,Cerámicas,NA,NA,NA,NA,NA,NA
2014,2A4b,Otros usos de la ceniza de sosa,NA,50.77,NA,NA,50.77,50.77
2014,2A4c,Producción de magnesia no metalúrgica,NA,NA,NA,NA,NA,NA
2014,2A4d,Otros (especificar),NA,NA,NA,NA,NA,NA
2014,2A5,Otros,NA,NA,NA,NA,NA,NA
2014,2B,Industria Química,NA,544.72,1.01,2.56,"1,359.66","1,359.66"
2014,2B1,Producción de amoníaco,NA,178.84,NA,NA,178.84,178.84
2014,2B2,Producción de ácido nítrico,NA,NA,NA,2.56,793.80,793.80
2014,2B3,Producción de ácido adípico,NA,NA,NA,NO,NO,NO
2014,2B4,Producción de caprolactama. glioxil y ácido glioxílico,NA,NA,NA,NO,NO,NO
2014,2B5,Producción de carburo,NA,NO,NO,NA,NO,NO
2014,2B6,Producción de dióxido de titanio,NA,NO,NA,NA,NO,NO
2014,2B7,Producción de ceniza de sosa,NA,NO,NA,NA,NO,NO
2014,2B8,Producción petroquímica y de negro de humo,NA,365.88,1.01,NA,387.02,387.02
2014,2B8a,Metanol,NA,NA,NA,NA,NA,NA
2014,2B8b,Etileno,NA,173.66,1.00,NA,194.60,194.60
2014,2B8c,Dicloruro de etileno y monómero cloruro de vinilo,NA,99.03,0.01,NA,99.19,99.19
2014,2B8d,Óxido de etileno,NA,NA,NA,NA,NA,NA
2014,2B8e,Acrilonitrilo,NA,NA,NA,NA,NA,NA
2014,2B8f,Negro de humo,NA,93.19,0.00,NA,93.23,93.23
2014,2B8g,Otros,NA,NA,NA,NA,NA,NA
2014,2B9,Producción fluoroquímica,NA,NA,NA,NA,NA,NA
2014,2B9a,Emisiones de productos derivados,NA,NA,NA,NA,NA,NA
2014,2B9b,Emisiones fugitivas,NA,NA,NA,NA,NA,NA
2014,2B10,Otros,NA,NA,NA,NA,NA,NA
2014,2C,Industria de los metales,NA,"1,563.56",2.63E-02,NA,"1,564.11","1,564.11"
2014,2C1,Producción de hierro y acero,NA,698.18,2.63E-02,NA,698.73,698.73
2014,2C2,Producción de ferroaleaciones,NA,865.38,NA,NA,865.38,865.38
2014,2C3,Producción de aluminio,NA,NO,NA,NA,NO,NO
2014,2C4,Producción de magnesio,NA,NO,NA,NA,NO,NO
2014,2C5,Producción de plomo,NA,NE,NA,NA,NE,NE
2014,2C6,Producción de zinc,NA,NO,NA,NA,NO,NO
2014,2C7,Otros,NA,NA,NA,NA,NA,NA
2014,2D,Uso  de productos no energéticos de combustibles y de solvente,NA,21.41,NA,NA,21.41,21.41
2014,2D1,Uso de lubricantes,NA,3.41E-01,NA,NA,3.41E-01,3.41E-01
2014,2D2,Uso de cera de parafina,NA,21.07,NA,NA,21.07,21.07
2014,2D3,Uso de solventes,NA,NA,NA,NA,NA,NA
2014,2D4,Otros,NA,NA,NA,NA,NA,NA
2014,2E,Industria electrónica,NA,NA,NA,NA,NO,NO
2014,20,Circuitos integrados o semiconductores,NA,NA,NA,NA,NO,NO
2014,200,Pantalla plana tipo TFT,NA,NA,NA,NA,NO,NO
2014,2000,Celdas fotovoltaícas,NA,NA,NA,NA,NO,NO
2014,20000,Fluídos de transferencia térmica,NA,NA,NA,NA,NO,NO
2014,200000,Otros,NA,NA,NA,NA,NO,NO
2014,2F,Uso de productos sustitutos de las sustancias que agotan la capa de ozono,NA,NA,NA,NA,"1,890.73","1,890.73"
2014,2F1,Refrigeración y aire acondicionado,NA,NA,NA,NA,"1,608.57","1,608.57"
2014,2F1a,Refrigeración y  aire acondicionado estacionario,NA,NA,NA,NA,"1,358.33","1,358.33"
2014,2F1ai,Refrigeración y  aire acondicionado estacionario - industria manufacturera,NA,NA,NA,NA,180.16,180.16
2014,2F1aii,Refrigeración y  aire acondicionado estacionario - residencial,NA,NA,NA,NA,196.72,196.72
2014,2F1aii,Refrigeración y  aire acondicionado estacionario - comercial,NA,NA,NA,NA,981.46,981.46
2014,2F1b,Aire acondicionado móvil,NA,NA,NA,NA,250.24,250.24
2014,2F1bi,Refrigeración movil (transporte refrigerado) - industria manufacturera,NA,NA,NA,NA,3.68,3.68
2014,2F1bii,Aire acondicionado móvil,NA,NA,NA,NA,246.55,246.55
2014,2F2,Agentes espumantes,NA,NA,NA,NA,NO,NO
2014,2F3,Protección contra incendios,NA,NA,NA,NA,2.78,2.78
2014,2F4,Aerosoles,NA,NA,NA,NA,151.46,151.46
2014,2F5,Solventes,NA,NA,NA,NA,127.00,127.00
2014,2F6,Otras aplicaciones,NA,NA,NA,NA,9.13E-01,9.13E-01
2014,2G,Manufactura y utilización de otros productos,NA,NA,NA,NE,156.64,156.64
2014,2G1,Equipos eléctricos,NA,NA,NA,NA,156.64,156.64
2014,2G1a,Manufactura de equipos eléctricos,NA,NA,NA,NA,NA,NA
2014,2G1b,Uso de equipos eléctricos,NA,NA,NA,NA,156.64,156.64
2014,2G1c,Eliminación de equipos eléctricos,NA,NA,NA,NA,NA,NA
2014,2G2,SF6 y PFCs de otros usos de productos,NA,NA,NA,NA,NE,NE
2014,2G2a,Aplicaciones militares,NA,NA,NA,NA,NA,NA
2014,2G2b,Aceleradores,NA,NA,NA,NA,NA,NA
2014,2G2c,Otros (especificar),NA,NA,NA,NA,NA,NA
2014,2G3,N2O de usos de productos,NA,NA,NA,NE,NE,NE
2014,2G3a,Aplicaciones médicas,NA,NA,NA,NA,NA,NA
2014,2G3b,Propulsor para productos presurizados y aerosoles,NA,NA,NA,NA,NA,NA
2014,2G3c,Otros (especificar,NA,NA,NA,NA,NA,NA
2014,2G4,Otros,NA,NA,NA,NA,NA,NA
2014,2H,Otros,NA,NA,NA,NA,NA,NA
2014,2H1,Industria de pulpa y el papel,NA,NA,NA,NA,NA,NA
2014,2H2,Industria de la alimentación y bebidas,NA,NA,NA,NA,NA,NA
2014,2H3,Otros,NA,NA,NA,NA,NA,NA
2014,3,Agricultura. Silvicultura. y Otros Usos de la Tierra,"-22,658.77","86,356.30","1,096.34",64.94,"129,512.09","106,853.31"
