anio,cat_ipcc2006,categoria,co2_absorciones_Gg,co2_emisiones_Gg,ch4_emisiones_Gg,n2o_emisiones_Gg,emisiones_totales_Gg_CO2eq,emisiones_con_absorciones_Gg_CO2eq
2014,3A,Ganadería,NE,NA,"1,036.20",3.43,"22,823.11","22,823.11"
2014,3A1,Fermentación entérica,NE,NA,982.14,NA,"20,625.00","20,625.00"
2014,3A1a,Total Ganado Bovino,NE,NA,940.05,NA,"19,741.00","19,741.00"
2014,3A1ai,Ganado Bovino Vacas de Alta Produccion,NE,NA,38.24,NA,803.00,803.00
2014,3A1aii,Ganado Bovino Vacas de Baja Produccion,NE,NA,165.14,NA,"3,468.00","3,468.00"
2014,3A1aiii,Ganado Bovino Vacas para produccion de carne,NE,NA,290.43,NA,"6,099.00","6,099.00"
2014,3A1aiv,Ganado Bovino Toros utilizados con fines reproductivos,NE,NA,57.52,NA,"1,208.00","1,208.00"
2014,3A1av,Ganado Bovino Terneros pre-destetos,NE,NA,53.52,NA,"1,124.00","1,124.00"
2014,3A1avi,Ganado Bovino Terneras de remplazo,NE,NA,90.76,NA,"1,906.00","1,906.00"
2014,3A1avii,Ganado Bovino Ganado de engorde,NE,NA,244.43,NA,"5,133.00","5,133.00"
2014,3A1b,Búfalos,NE,NA,9.67,NA,203.00,203.00
2014,3A1c,Ovinos,NE,NA,3.90,NA,82.00,82.00
2014,3A1d,Caprinos,NE,NA,3.76,NA,79.00,79.00
2014,3A1e,Camellos,NE,NA,NO,NA,NA,NA
2014,3A1f,Caballos,NE,NA,21.81,NA,458.00,458.00
2014,3A1g,Mulas y asnos,NE,NA,0.00,NA,0.00,0.00
2014,3A1h,Porcinos,NE,NA,2.95,NA,62.00,62.00
2014,3A1hi,Porcinos < 6 meses,NE,NA,1.24,NA,26.00,26.00
2014,3A1hii,Porcinos > 6 meses,NE,NA,1.71,NA,36.00,36.00
2014,3A1j,Otros,NE,NA,0.00,NA,0.00,0.00
2014,3A2,Gestión de estiércol,NE,NA,54.06,3.43,"2,198.11","2,198.11"
2014,3A2a,Total Ganado Bovino,NE,NA,22.49,0.79,716.08,716.08
2014,3A2ai,Ganado Bovino Vacas de Alta Produccion,NE,NA,0.46,0.00,9.56,9.56
2014,3A2aii,Ganado Bovino Vacas de Baja Produccion,NE,NA,3.18,0.18,122.92,122.92
2014,3A2aiii,Ganado Bovino Vacas para produccion de carne,NE,NA,6.18,0.26,210.39,210.39
2014,3A2aiv,Ganado Bovino Toros utilizados con fines reproductivos,NE,NA,0.77,0.05,31.02,31.02
2014,3A2av,Ganado Bovino Terneros pre-destetos,NE,NA,3.90,0.04,92.78,92.78
2014,3A2avi,Ganado Bovino Terneras de remplazo,NE,NA,2.63,0.08,81.27,81.27
2014,3A2avii,Ganado Bovino Ganado de engorde,NE,NA,5.37,0.18,168.15,168.15
2014,3A2b,Búfalos,NE,NA,0.18,0.01,5.58,5.58
2014,3A2c,Ovinos,NE,NA,0.08,0.01,3.90,3.90
2014,3A2d,Caprinos,NE,NA,0.17,0.01,6.24,6.24
2014,3A2e,Camellos,NE,NA,NO,NO,NA,NA
2014,3A2f,Caballos,NE,NA,1.99,0.14,86.19,86.19
2014,3A2g,Mulas y asnos,NE,NA,0.00,0.00,0.00,0.00
2014,3A2h,Porcinos,NE,NA,2.98,0.97,363.16,363.16
2014,3A2hi,Porcinos < 6 meses,NE,NA,1.26,0.37,141.22,141.22
2014,3A2hii,Porcinos > 6 meses,NE,NA,1.73,0.60,221.94,221.94
2014,3A2j,Otros,NE,NA,26.18,1.51,"1,016.96","1,016.96"
2014,3B,Tierra,"-22,658.77","86,356.30",0.11,NA,"86,358.62","63,699.85"
2014,3B1,Tierras forestales,"-15,602.55","40,844.40",NA,NA,"40,844.40","25,241.85"
2014,3B1a,Tierras forestales que permanecen como tales,"-12,655.64","40,844.40",NA,NA,"40,844.40","28,188.75"
2014,3B1ai,Tierras forestales que permanecen como tales(Bosque natural),0.00,"15,508.15",NA,NA,"15,508.15","15,508.15"
2014,3B1aii,Tierras forestales que permanecen como tales (Stock Change),-931.90,"21,723.02",NA,NA,"21,723.02","20,791.12"
2014,3B1aiii,Tierras forestales que permanecen como tales (Plantaciones),"-11,723.75","3,613.23",NA,NA,"3,613.23","-8,110.51"
2014,3B1b,Tierras convertidas en tierras forestales,"-2,946.90",NA,NA,NA,NA,"-2,946.90"
2014,3B1bi,Tierras de cultivo convertidas en tierras forestales,-724.37,NA,NA,NA,NA,-724.37
2014,3B1bii,Pastizales convertidos en tierras forestales,"-2,088.84",NA,NA,NA,NA,"-2,088.84"
2014,3B1biii,Humedales convertidos en tierras forestales,-48.07,NA,NA,NA,NA,-48.07
2014,3B1biv,Asentamientos convertidos en tierras forestales,-47.17,NA,NA,NA,NA,-47.17
2014,3B1bv,Otras tierras convertidas en tierras forestales,-38.44,NA,NA,NA,NA,-38.44
2014,3B2,Tierras de cultivo,"-6,717.09","9,164.21",NA,NA,"9,164.21","2,447.12"
2014,3B2a,Tierras de cultivo que permanecen como tales,"-6,717.09","5,910.62",NA,NA,"5,910.62",-806.47
2014,3B2ai,Cultivo de café,"-3,551.94","3,408.24",NA,NA,"3,408.24",-143.70
2014,3B2aii,Palma,"-1,397.82",275.20,NA,NA,275.20,"-1,122.62"
2014,3B2aiii,Cacao,-505.08,0.00,NA,NA,0.00,-505.08
2014,3B2aiv,Aguacate,-129.09,34.27,NA,NA,34.27,-94.82
2014,3B2av,Caucho,-777.74,0.00,NA,NA,0.00,-777.74
2014,3B2avi,Mango,-129.15,95.02,NA,NA,95.02,-34.12
2014,3B2avii,Limón,-80.93,27.82,NA,NA,27.82,-53.11
2014,3B2aviii,Mandarina,-60.52,6.37,NA,NA,6.37,-54.15
2014,3B2aix,Naranja,-77.87,28.41,NA,NA,28.41,-49.45
2014,3B2ax,Tangelo,-6.94,61.70,NA,NA,61.70,54.76
2014,3B2axi,Otro,0.00,279.26,NA,NA,279.26,279.26
2014,3B2b,Tierras convertidas en tierras de cultivo,NE,"3,253.59",NA,NA,"3,253.59","3,253.59"
2014,3B2bi,Tierras forestales convertidas en tierras de cultivo,NA,"3,253.59",NA,NA,"3,253.59","3,253.59"
2014,3B2bii,Pastizales convertidos en tierras de cultivo,NE,NE,NA,NA,NA,NA
2014,3B2biii,Humedales convertidos en tierras de cultivo,NE,NE,NA,NA,NA,NA
2014,3B2biv,Asentamientos convertidos en tierras de cultivo,NE,NE,NA,NA,NA,NA
2014,3B2bv,Otras tierras convertidas en tierras de cultivo,NE,NE,NA,NA,NA,NA
2014,3B3,Pastizales,-339.13,"32,612.11",NA,NA,"32,612.11","32,272.98"
2014,3B3a,Pastizales que permanecen como tales,-339.13,"2,205.90",NA,NA,"2,205.90","1,866.76"
2014,3B3b,Tierras convertidas en pastizales,NE,"30,406.22",NA,NA,"30,406.22","30,406.22"
2014,3B3bi,Tierras forestales convertidas en pastizales,NA,"30,406.22",NA,NA,"30,406.22","30,406.22"
2014,3B3bii,Tierras de cultivo convertidas en pastizales,NE,NE,NA,NA,NA,NA
2014,3B3biii,Humedales convertidos en pastizales,NE,NE,NA,NA,NA,NA
2014,3B3biv,Asentamientos convertidos en pastizales,NE,NE,NA,NA,NA,NA
2014,3B3bv,Otras tierras convertidas en pastizales,NE,NE,NA,NA,NA,NA
2014,3B4,Humedales,NE,661.64,0.11,NA,663.96,663.96
2014,3B4a,Humedales que permanecen como tales,NA,5.97,0.11,NA,8.29,8.29
2014,3B4b,Tierras convertidas en humedales,NE,655.68,NA,NA,655.68,655.68
2014,3B4bi,Tierras forestales convertidas en humedales,NA,655.68,NA,NA,655.68,655.68
2014,3B4bii,Tierras de cultivo convertidas en humedales,NE,NE,NA,NA,NA,NA
2014,3B4biii,Pastizales convertidos en humedales,NE,NE,NA,NA,NA,NA
2014,3B4biv,Asentamientos convertidos en humedales,NE,NE,NA,NA,NA,NA
2014,3B4bv,Otras tierras convertidas en humedales,NE,NE,NA,NA,NA,NA
2014,3B5,Asentamientos,NE,474.41,NA,NA,474.41,474.41
2014,3B5a,Asentamientos que permanecen como tales,NE,NE,NA,NA,NA,NA
2014,3B5b,Tierras convertidas en asentamientos,NE,474.41,NA,NA,474.41,474.41
2014,3B5bi,Tierras forestales convertidas en Asentamientos,NA,474.41,NA,NA,474.41,474.41
2014,3B5bii,Tierras de cultivo convertidas en Asentamientos,NE,NE,NA,NA,NA,NA
2014,3B5biii,Pastizales convertidos en Asentamientos,NE,NE,NA,NA,NA,NA
2014,3B5biv,Humedales convertidos en Asentamientos,NE,NE,NA,NA,NA,NA
2014,3B5bv,Otras tierras convertidas en Asentamientos,NE,NE,NA,NA,NA,NA
2014,3B6,Otras tierras,NE,"2,599.52",NA,NA,"2,599.52","2,599.52"
2014,3B6a,Otras tierras que permanecen como tales,NA,NA,NA,NA,NA,NA
2014,3B6b,Tierras convertidas en otras tierras,NE,"2,599.52",NA,NA,"2,599.52","2,599.52"
2014,3B6bi,Tierras forestales convertidas en otras tierras,NA,"2,599.52",NA,NA,"2,599.52","2,599.52"
2014,3B6bii,Tierras de cultivo convertidas en otras tierras,NE,NE,NA,NA,NA,NA
2014,3B6biii,Pastizales convertidos en otras tierras,NE,NE,NA,NA,NA,NA
2014,3B6biv,Humedales convertidos en otras tierras,NE,NE,NA,NA,NA,NA
2014,3B6bv,Otras tierras convertidas en otras tierras,NE,NE,NA,NA,NA,NA
2014,3C,Fuentes agregadas y emisiones de no CO2 provenientes de la tierra,NA,NA,60.02,61.52,"20,330.35","20,330.35"
2014,3C1,Emisiones por quema de biomasa,NA,IE,35.90,1.06,"1,083.06","1,083.06"
2014,3C1a,Emisiones del quemado de biomasa en Tierras forestales,NA,IE,33.00,0.97,993.90,993.90
2014,3C1b,Emisiones del quemado de biomasa en Tierras de cultivo,NA,IE,2.69,0.07,79.04,79.04
2014,3C1c,Emisiones del quemado de biomasa en Pastizales,NA,IE,0.21,0.02,10.11,10.11
2014,3C1d,Emisiones del quemado de biomasa en Otras tierras,NA,NE,NE,NE,NA,NA
2014,3C2,Encalado,NA,NE,NE,NA,NA,NA
2014,3C3,Aplicación de urea,NA,NE,NE,NA,NA,NA
2014,3C4,Emisiones directas de N2O de suelos gestionados,NA,NA,NA,49.24,"15,265.91","15,265.91"
2014,3C4a,Fertilizante sintético (FSN),NA,NA,NA,6.08,"1,883.52","1,883.52"
2014,3C4b,Fertilizante orgánico (FON),NA,NA,NA,0.16,48.15,48.15
2014,3C4c,Residuos de cultivo incluidos los fijadores de nitrogeno y de forraje en la renovación de pasturas (FCR),NA,NA,NA,0.84,259.00,259.00
2014,3C4d,Mineralización por cambio en el uso o manejo (FSOM),NA,NA,NA,1.77,549.56,549.56
2014,3C4e,Gestión de suelos histosoles (FOS),NA,NA,NA,6.68,"2,070.30","2,070.30"
2014,3C4f,Orina y estiércol de animales en pastoreo (FPRP),NA,NA,NA,33.73,"10,455.37","10,455.37"
2014,3C5,Emisiones indirectas de N2O de suelos gestionados,NA,NA,NA,9.93,"3,078.55","3,078.55"
2014,3C5a,Volatilización - Fertilizante sintético (FSN),NA,NA,NA,0.64,199.90,199.90
2014,3C5b,Volatilización - Fertilizante orgánico (FON),NA,NA,NA,0.03,9.63,9.63
2014,3C5c,Volatilización - Orina y estiércol de animales en pastoreo (FPRP),NA,NA,NA,3.37,"1,045.54","1,045.54"
2014,3C5d,Lixiviación/escurrimiento Fertilizante sintético (FSN),NA,NA,NA,1.45,449.77,449.77
2014,3C5e,Lixiviación/escurrimiento Fertilizante orgánico (FON),NA,NA,NA,0.03,10.83,10.83
2014,3C5f,Lixiviación/escurrimiento Residuos de cultivo incluidos los fijadores de nitrogeno y de forraje en la renovación de pasturas (FCR),NA,NA,NA,0.20,63.00,63.00
2014,3C5g,Lixiviación/escurrimiento Mineralización por cambio en el uso o manejo (FSOM),NA,NA,NA,0.40,123.65,123.65
2014,3C5h,Lixiviación/escurrimiento - Orina y estiércol de animales en pastoreo (FPRP),NA,NA,NA,3.79,"1,176.23","1,176.23"
2014,3C6,Emisiones indirectas de N2O de gestión de estiércol,NA,NA,NA,1.28,396.17,396.17
2014,3C6a,Total Ganado Bovino,NE,NA,NA,0.33,102.09,102.09
2014,3C6ai,Ganado Bovino Vacas de Alta Produccion,NE,NA,NA,0.02,5.08,5.08
2014,3C6aii,Ganado Bovino Vacas de Baja Produccion,NE,NA,NA,0.07,22.47,22.47
2014,3C6aiii,Ganado Bovino Vacas para produccion de carne,NE,NA,NA,0.10,31.68,31.68
2014,3C6aiv,Ganado Bovino Toros utilizados con fines reproductivos,NE,NA,NA,0.02,5.93,5.93
2014,3C6av,Ganado Bovino Terneros pre-destetos,NE,NA,NA,0.01,4.36,4.36
2014,3C6avi,Ganado Bovino Terneras de remplazo,NE,NA,NA,0.03,10.44,10.44
2014,3C6avii,Ganado Bovino Ganado de engorde,NE,NA,NA,0.07,22.14,22.14
2014,3C6b,Búfalos,NE,NA,NA,0.00,0.76,0.76
2014,3C6c,Ovinos,NE,NA,NA,0.00,0.91,0.91
2014,3C6d,Caprinos,NE,NA,NA,0.00,1.10,1.10
2014,3C6e,Camellos,NE,NA,NA,NO,NA,NA
2014,3C6f,Caballos,NE,NA,NA,0.02,4.72,4.72
2014,3C6g,Mulas y asnos,NE,NA,NA,0.00,0.00,0.00
2014,3C6h,Porcinos,NE,NA,NA,0.30,93.13,93.13
2014,3C6hi,Porcinos < 6 meses,NE,NA,NA,0.12,37.48,37.48
2014,3C6hii,Porcinos > 6 meses,NE,NA,NA,0.18,55.65,55.65
2014,3C6j,Otros,NE,NA,NA,0.62,193.47,193.47
2014,3C7,Cultivo de arroz,NE,NA,24.13,NA,506.67,506.67
2014,3C7a,Cultivo de arroz  Riego,NE,NA,18.98,NA,398.66,398.66
2014,3C7b,Cultivo de arroz Secano,NE,NA,5.14,NA,108.01,108.01
2014,4,Residuos,NA,406.8,636.4,2.1,"14,413.8","14,413.8"
2014,4A,Eliminación de desechos sólidos,NA,NA,311.7,NE,"6,546.7","6,546.7"
2014,4A1,Sitios gestionados de eliminación de desechos,NA,NA,290.3,NE,"6,095.3","6,095.3"
2014,4A1a,Rellenos regionales,NA,NA,238.6,NE,"5,010.6","5,010.6"
2014,4A1b,Rellenos locales. plantas integrales y celdas de contingencia,NA,NA,51.7,NE,"1,084.8","1,084.8"
2014,4A2,Sitios no gestionados de eliminación de desechos,NA,NA,IE,NA,IE,IE
2014,4A3,Sitios no categorizados de eliminación de desechos,NA,NA,21.5,NE,451.4,451.4
2014,4B,Tratamiento biológico de los desechos sólidos,NA,NA,NE,NE,NE,NE
2014,4C,Incineración e incineración abierta de desechos,NA,406.8,6.1,0.1,579.8,579.8
2014,4C1,Incineración de desechos,NA,89.8,NE,NE,89.8,89.8
2014,4C2,Incineración abierta de desechos,NA,316.9,6.1,0.1,490.0,490.0
2014,4D,Tratamiento y eliminación de aguas residuales.,NA,NA,318.5,1.9,"7,287.3","7,287.3"
2014,4D1,Tratamiento y eliminación de aguas residuales domésticas,NA,NA,99.7,1.9,"2,693.0","2,693.0"
2014,4D1a,Población cabecera municipal,NA,NA,66.3,1.5,"1,849.7","1,849.7"
2014,4D1ai,Alcantarillado y PTAR,NA,NA,33.0,0.5,832.9,832.9
2014,4D1aii,Alcantarillado sin PTAR,NA,NA,24.5,0.9,796.0,796.0
2014,4D1aiii,Sin alcantarillado,NA,NA,8.8,0.1,220.8,220.8
2014,4D1b,Población rural (sin alcantarillado),NA,NA,33.4,0.5,843.3,843.3
2014,4D2,Tratamiento y eliminación  de aguas residuales industriales,NA,NA,218.8,NE,"4,594.2","4,594.2"
2014,4E,Otros,NA,NA,NA,NA,NA,NA
2014,5,Otros,0.00,0.00,0.00,0.00,0.00,0.00
2014,5A,Emisiones indirectas de N2O de la deposición atmosférica de nitrógeno como NOx y NH3,NA,NA,NA,NE,NA,NA
2014,5B,Otros,NA,NA,NA,NO,NA,NA
